partition,tool_id,name,source,domain,occurrences,schema_tokens,weighted_tokens
toolret_gold,ultraTool_tool_539,conference_room_booking,toolret:web,ultraTool,28,105,2940
toolret_gold,ultraTool_tool_519,train_ticket_booking,toolret:web,ultraTool,28,149,4172
toolret_gold,toolLens_tool_35,Get articles,toolret:web,toolLens,27,38,1026
toolret_gold,toolink_tool_117,sum_over_axis,toolret:code,toolink,26,62,1612
toolret_gold,ultraTool_tool_546,clock_alarm_change,toolret:web,ultraTool,26,136,3536
toolret_gold,toolink_tool_85,transpose,toolret:code,toolink,25,51,1275
toolret_gold,toolbench_tool_9479,bitly_shorten,toolret:web,toolbench,23,42,966
toolret_gold,toolbench_tool_781,OTT_details_Title_Details,toolret:web,toolbench,22,70,1540
toolret_gold,tool_be_honest_tool_59,ReportGenerator,toolret:customized,tool_be_honest,21,35,735
toolret_gold,ultraTool_tool_329,hotel_booking_query,toolret:web,ultraTool,21,129,2709
toolret_gold,ultraTool_tool_524,search_train,toolret:web,ultraTool,21,130,2730
toolret_gold,ultraTool_tool_8,file_delete,toolret:web,ultraTool,20,80,1600
toolret_gold,ultraTool_tool_534,conference_room_query,toolret:web,ultraTool,20,117,2340
toolret_gold,webtools_music_tool_1,https://genius-song-lyrics1.p.rapidapi.com/search/multi/,toolret:web,webtools_music,19,190,3610
toolret_gold,rotbench_tool_15,hsinif,toolret:web,rotbench,18,51,918
toolret_gold,toolbench_tool_6549,URL_Link_Shortener_Get_a_list_of_domains,toolret:web,toolbench,18,42,756
toolret_gold,toolbench_tool_1044,Vimeo_SearchVideos,toolret:web,toolbench,18,34,612
toolret_gold,toolLens_tool_50,View All Food Items,toolret:web,toolLens,18,72,1296
toolret_gold,toolLens_tool_19,Search Pro,toolret:web,toolLens,18,135,2430
toolret_gold,mnms_tool_2,image generation,toolret:web,mnms,17,99,1683
toolret_gold,rotbench_tool_16,get_translation_nllb,toolret:web,rotbench,17,233,3961
bfcl_exposed,bfcl:weather_forecast:79de908d7cbd,weather_forecast,bfcl:multiple,multiple,10,77,770
bfcl_exposed,bfcl:event_finder.find_upcoming:16e523592545,event_finder.find_upcoming,bfcl:multiple,multiple,8,111,888
bfcl_exposed,bfcl:get_stock_info:671e66a37959,get_stock_info,bfcl:multiple,multiple,7,109,763
bfcl_exposed,bfcl:chess.rating:4970845289cb,chess.rating,bfcl:multiple,multiple,7,97,679
bfcl_exposed,bfcl:get_scientist_for_discovery:23790f87798f,get_scientist_for_discovery,bfcl:multiple,multiple,7,65,455
bfcl_exposed,bfcl:mutation_type.find:de3246922614,mutation_type.find,bfcl:multiple,multiple,7,108,756
bfcl_exposed,bfcl:soccer.get_last_match:e0c0cf725ce8,soccer.get_last_match,bfcl:multiple,multiple,7,89,623
bfcl_exposed,bfcl:math.gcd:71f0537c4b0d,math.gcd,bfcl:multiple,multiple,6,66,396
bfcl_exposed,bfcl:musical_scale:f626892ba58f,musical_scale,bfcl:multiple,multiple,6,79,474
bfcl_exposed,bfcl:mix_paint_color:e687eb1b0024,mix_paint_color,bfcl:multiple,multiple,6,114,684
bfcl_exposed,bfcl:cooking_conversion.convert:314bab0d8d2d,cooking_conversion.convert,bfcl:multiple,multiple,6,105,630
bfcl_exposed,bfcl:calculate_probability:bc87293c2bff,calculate_probability,bfcl:multiple,multiple,6,101,606
bfcl_exposed,bfcl:get_song_lyrics:91201f97f0f7,get_song_lyrics,bfcl:multiple,multiple,6,114,684
bfcl_exposed,bfcl:calculate_binomial_probability:21e62e64bb2f,calculate_binomial_probability,bfcl:multiple,multiple,6,121,726
bfcl_exposed,bfcl:poker_probability.full_house:11ab945f994d,poker_probability.full_house,bfcl:multiple,multiple,6,89,534
bfcl_exposed,bfcl:board_game.chess.get_top_players:e6dd81b0c6c1,board_game.chess.get_top_players,bfcl:multiple,multiple,6,111,666
bfcl_exposed,bfcl:get_collectables_in_season:863f9e557bf4,get_collectables_in_season,bfcl:multiple,multiple,5,123,615
bfcl_exposed,bfcl:calculate_genotype_frequency:a4ed6dc2eef5,calculate_genotype_frequency,bfcl:multiple,multiple,5,108,540
bfcl_exposed,bfcl:forest_growth_forecast:f5bed8b51748,forest_growth_forecast,bfcl:multiple,multiple,5,114,570
bfcl_exposed,bfcl:geometry.area_triangle:6fe66c6f15dc,geometry.area_triangle,bfcl:multiple,multiple,5,92,460
bfcl_exposed,bfcl:calculate_cagr:e95aa7851162,calculate_cagr,bfcl:multiple,multiple,5,110,550
bfcl_exposed,bfcl:park_information:cab612a951af,park_information,bfcl:multiple,multiple,5,98,490
bfcl_exposed,bfcl:get_time_difference:6a52e55eff2a,get_time_difference,bfcl:multiple,multiple,5,73,365
bfcl_exposed,bfcl:get_stock_price:e54391bd0a58,get_stock_price,bfcl:multiple,multiple,5,69,345
bfcl_exposed,bfcl:find_recipe:a1a28daaee91,find_recipe,bfcl:multiple,multiple,5,121,605
bfcl_exposed,bfcl:math.hcf:c92a3a24a1e5,math.hcf,bfcl:multiple,multiple,4,66,264
bfcl_exposed,bfcl:calculate_final_speed:31090e52f4d5,calculate_final_speed,bfcl:multiple,multiple,4,104,416
bfcl_exposed,bfcl:get_event_date:73bebc936f18,get_event_date,bfcl:multiple,multiple,4,74,296
bfcl_exposed,bfcl:instrument_price.get:8d388101b86d,instrument_price.get,bfcl:multiple,multiple,4,91,364
bfcl_exposed,bfcl:cell_biology.function_lookup:be2ec9539d34,cell_biology.function_lookup,bfcl:multiple,multiple,4,119,476
bfcl_exposed,bfcl:calculate_density:7d2fe58971d1,calculate_density,bfcl:multiple,multiple,4,95,380
bfcl_exposed,bfcl:cellbio.get_proteins:0118984390da,cellbio.get_proteins,bfcl:multiple,multiple,4,85,340
bfcl_exposed,bfcl:math.factorial:c843d084d3bd,math.factorial,bfcl:multiple,multiple,4,55,220
bfcl_exposed,bfcl:prediction.evolution:0f27a3207f0c,prediction.evolution,bfcl:multiple,multiple,4,112,448
bfcl_exposed,bfcl:calculate_bmi:69b7f944a5b2,calculate_bmi,bfcl:multiple,multiple,4,103,412
bfcl_exposed,bfcl:calculate_BMI:3e27900586c0,calculate_BMI,bfcl:multiple,multiple,4,85,340
bfcl_exposed,bfcl:book_hotel:78014cf2f65e,book_hotel,bfcl:multiple,multiple,4,170,680
bfcl_exposed,bfcl:science_history.get_invention:85bcb7c42d71,science_history.get_invention,bfcl:multiple,multiple,4,89,356
bfcl_exposed,bfcl:run_linear_regression:759720069425,run_linear_regression,bfcl:multiple,multiple,4,105,420
bfcl_exposed,bfcl:predict_house_price:0a61e9dcf12a,predict_house_price,bfcl:multiple,multiple,4,112,448
bfcl_exposed,bfcl:fetch_DNA_sequence:7e8ba49154d8,fetch_DNA_sequence,bfcl:multiple,multiple,4,118,472
bfcl_exposed,bfcl:t_test:80182b71889c,t_test,bfcl:multiple,multiple,4,113,452
bfcl_exposed,bfcl:public_library.find_nearby:1abdb2c62e5f,public_library.find_nearby,bfcl:multiple,multiple,4,111,444
bfcl_exposed,bfcl:finance.calculate_future_value:fac7435df531,finance.calculate_future_value,bfcl:multiple,multiple,4,128,512
bfcl_exposed,bfcl:lawsuit_search:bfa26df85d96,lawsuit_search,bfcl:multiple,multiple,4,133,532
bfcl_exposed,bfcl:grocery_store.find_best:d527e07b227f,grocery_store.find_best,bfcl:multiple,multiple,4,104,416
bfcl_exposed,bfcl:ecology_data.precipitation_stats:7a78cd000608,ecology_data.precipitation_stats,bfcl:multiple,multiple,4,99,396
bfcl_exposed,bfcl:hotel_booking:342a8cc12d2e,hotel_booking,bfcl:multiple,multiple,4,150,600
bfcl_exposed,bfcl:sentiment_analysis:93262624eb19,sentiment_analysis,bfcl:multiple,multiple,4,75,300
bfcl_exposed,bfcl:calculate_bmi:e81ffc78642b,calculate_bmi,bfcl:multiple,multiple,4,112,448
